_id,license_number,license_type_name,naics_code,business_name,license_state,initial_issue_date,most_recent_issue_date,effective_date,expiration_date
1,BL008029,General Contractor,236220,"ENGINE 30 ARCHITECTURE, LLC",Expired,2017-11-09T09:10:47,2017-11-09T09:12:14,2017-11-09T09:12:14,2018-11-09T09:12:14
2,BL008030,General Contractor,236220,WERSTIL COMPANIES,Expired,2017-11-14T12:12:06,2017-11-14T12:49:25,2017-11-14T12:49:25,2018-11-14T12:49:25
3,BL008031,General Contractor,236220,AGL Enterprises Inc,Active,2017-11-17T12:50:34,2024-10-08T00:00:00,2024-11-18T00:00:00,2025-11-17T00:00:00
4,BL008035,General Contractor,236220,STEEL CITY REMODELERS,Expired,2017-11-27T09:54:07,2017-11-27T09:55:21,2017-11-27T09:55:21,2018-11-27T09:55:21
5,BL008038,General Contractor,236220,Allegheny Window Systems,Expired,2017-11-27T13:18:39,2017-11-27T13:20:08,2017-11-27T13:20:08,2018-11-27T13:20:08
6,BL008037,General Contractor,236220,TOMMARELLO GENERAL CONTRACTORS,Expired,2017-11-27T12:35:39,2017-11-27T12:36:58,2017-11-27T12:36:58,2018-11-27T12:36:58
7,BL008040,General Contractor,236220,TEK CONSTRUCTION SERVICES LLC,Expired,2017-12-01T11:48:28,2017-12-01T11:49:16,2017-12-01T11:49:16,2018-12-01T11:49:16
8,BL008043,General Contractor,236220,Multiple Solutions Pittsburgh,Expired,2017-12-01T14:21:05,2022-10-17T00:00:00,2022-12-02T00:00:00,2023-12-01T00:00:00
9,BL008042,General Contractor,236220,EXTERIOR DIAGNOSTIC SERVICES INC,Expired,2017-12-01T13:10:52,2018-12-05T00:00:00,2018-12-02T13:16:51,2019-12-01T00:00:00
10,BL008047,General Contractor,236220,ALLEGIANT INC,Expired,2017-12-08T10:04:18,2017-12-08T10:18:12,2017-12-08T10:18:12,2018-12-08T10:18:12
11,BL008050,General Contractor,236220,HOB NOB INVESTMENTS LLC,Expired,2017-12-11T12:46:04,2017-12-11T12:49:57,2017-12-11T12:49:57,2018-12-11T12:49:57
12,BL008053,General Contractor,236220,Becks Development / Becks Roofing ,Expired,2017-12-14T14:46:42,2017-12-14T14:47:15,2017-12-14T14:47:15,2018-12-14T14:47:15
13,BL008056,General Contractor,236220,CELTIC REMODELING & PLUMBING LLC,Expired,2017-12-22T12:34:10,2017-12-22T12:34:58,2017-12-22T12:34:58,2018-12-22T12:34:58
14,BL003361,General Contractor,236220,ROAC INC.,Expired,2012-02-21T15:51:16,2018-04-13T12:54:27,2018-04-13T12:54:27,2019-04-13T12:54:27
15,BL003390,General Contractor,236220,BUCK CONSTRUCTION LLC,Expired,2015-01-07T11:35:41,2013-08-26T10:44:03,2013-08-26T10:44:03,2014-08-26T10:44:03
16,BL003430,General Contractor,236220,Joycebilt Construction Inc.,Expired,2015-01-14T12:45:36,2014-01-22T09:12:24,2014-01-22T09:12:24,2015-01-22T09:12:24
17,SN00367,Sign Contractor,238990,"Aladdin Signs, Inc.",Expired,2012-03-09T14:24:19,2017-08-01T12:10:56,2017-08-01T12:10:56,2018-08-01T12:10:56
18,BL003481,General Contractor,236220,CHARVILLE CONSTRUCTION,Expired,2015-07-20T14:07:05,2015-07-20T14:12:58,2015-07-20T14:12:58,2016-07-20T14:12:58
19,SN00296,Sign Contractor,238990,Carik Sign Installation Services LLC,Closed,2012-03-09T14:15:30,2017-05-16T08:02:36,2017-05-16T08:02:36,2018-05-16T08:02:36
20,SN00031,Sign Contractor,238990,A.E. Jones Sign Co ,Expired,2011-03-30T12:53:24,2015-06-29T11:24:51,2015-06-29T11:24:51,2016-06-29T11:24:51
21,BL003507,General Contractor,236220,MERCURY CONSTRUCTION CORP,Expired,2015-01-07T11:34:49,2012-03-14T13:59:36,2012-03-14T13:59:36,2013-03-14T13:59:36
22,BL003499,General Contractor,236220,Simon Roofing and Sheet Metal Corp,Expired,2012-07-27T10:06:21,2020-02-11T00:00:00,2020-01-31T00:00:00,2021-01-30T00:00:00
23,BL003584,General Contractor,236220,BENDERBILT CONSTRUCTION,Expired,2018-04-30T12:19:10,2018-04-30T12:24:25,2018-04-30T12:24:25,2019-04-30T12:24:25
24,BL003788,General Contractor,236220,RC BROTHERS INC.,Closed,2017-01-30T13:30:30,2017-01-30T13:31:26,2017-01-30T13:31:26,2018-01-30T13:31:26
25,BL007001,General Contractor,236220,JOHN ANTHONY SUNDO CONSTRUCTION,Expired,2015-01-14T12:51:41,2013-11-15T11:07:55,2013-11-15T11:07:55,2014-11-15T11:07:55
26,BL007006,General Contractor,236220,CARNEGIE ROBOTICS LLC,Expired,2013-11-21T13:02:28,2017-03-21T10:29:38,2017-03-21T10:29:38,2018-03-21T10:29:38
27,BL007010,General Contractor,236220,STRIKE CONSULTING INC,Expired,2015-01-14T12:49:00,2014-08-17T11:50:49,2014-08-17T11:50:49,2015-08-17T11:50:49
28,BL007015,General Contractor,236220,VARSITY CONTRACTORS INC,Expired,2015-01-07T11:36:54,2013-12-06T09:21:12,2013-12-06T09:21:12,2014-12-06T09:21:12
29,BL007020,General Contractor,236220,MEYERS CONSTRUCTION,Expired,2015-01-14T12:49:01,2016-03-15T10:31:16,2016-03-15T10:31:16,2017-03-15T10:31:16
30,BL007023,General Contractor,236220,Alescio Plumbing and Contracting,Expired,2013-12-16T14:15:06,2016-01-11T09:50:29,2016-01-11T09:50:29,2017-01-11T09:50:29
31,BL007025,General Contractor,236220,COALFIELD SERVICES INC,Expired,2015-01-14T12:52:02,2014-01-06T11:14:25,2014-01-06T11:14:25,2015-01-06T11:14:25
32,SN00576,Sign Contractor,238990,STANDARD & CUSTOM,Expired,2014-01-09T13:42:57,2015-11-30T13:09:15,2015-11-30T13:09:15,2016-11-30T13:09:15
33,BL007031,General Contractor,236220,RENOVISION,Expired,2014-01-16T11:36:59,2015-01-08T11:38:56,2015-01-08T11:38:56,2016-01-08T11:38:56
34,BL007040,General Contractor,236220,CJP Building Concepts,Expired,2015-01-14T12:52:08,2014-01-30T15:58:48,2014-01-30T15:58:48,2015-01-30T15:58:48
35,BL007045,General Contractor,236220,Vance Strader,Expired,2015-01-14T12:49:19,2014-02-03T13:50:19,2014-02-03T13:50:19,2015-02-03T13:50:19
36,BL007049,General Contractor,236220,SEARS HOME IMPROVEMENT PRODUCTS INC,Expired,2014-02-05T11:10:45,2019-04-04T00:00:00,2019-03-09T15:56:00,2020-03-08T00:00:00
37,BL007053,General Contractor,236220,WESTOWER COMMUNICATIONS INC,Expired,2014-02-06T11:33:39,2015-02-23T08:25:05,2015-02-23T08:25:05,2016-02-23T08:25:05
38,BL007057,General Contractor,236220,GREG SHURINA GENERAL CONTRACTING,Expired,2015-01-14T12:52:13,2014-02-12T12:37:50,2014-02-12T12:37:50,2015-02-12T12:37:50
39,BL008058,General Contractor,236220,Dominic Scoglietti,Expired,2018-01-02T13:27:44,2019-01-25T00:00:00,2019-01-03T13:31:57,2020-01-02T00:00:00
40,BL008062,General Contractor,236220,"PremoCon, INC",Expired,2018-01-03T12:26:44,2018-01-03T12:37:24,2018-01-03T12:37:24,2019-01-03T12:37:24
41,SN00755,Sign Contractor,238990,"Bronder Technical Services, Inc",Active,2018-01-09T08:12:14,2024-12-04T00:00:00,2025-01-10T00:00:00,2026-01-09T00:00:00
42,BL008068,General Contractor,236220,BAKED GC LLC,Expired,2018-01-12T08:15:15,2018-01-12T08:16:06,2018-01-12T08:16:06,2019-01-12T08:16:06
43,BL008072,General Contractor,236220,Bogdan's General Construction,Expired,2018-01-18T08:14:07,2018-01-18T08:14:51,2018-01-18T08:14:51,2019-01-18T08:14:51
44,BL008075,General Contractor,236220,BUILDING SOLUTIONS,Expired,2018-01-24T12:37:56,2018-01-24T12:38:59,2018-01-24T12:38:59,2019-01-24T12:38:59
45,BL008078,General Contractor,236220,CINRON REAL ESTATE HOLDINGS LLC,Expired,2018-01-30T08:53:37,2018-01-30T08:55:24,2018-01-30T08:55:24,2019-01-30T08:55:24
46,BL008085,General Contractor,236220,McQueen Companies,Expired,2018-02-05T09:52:16,2019-01-25T00:00:00,2019-02-06T09:54:36,2020-02-05T00:00:00
47,BL008096,General Contractor,236220,"Donley's, Inc",Expired,2018-02-26T09:28:28,2018-02-26T09:33:56,2018-02-26T09:33:56,2019-02-26T09:33:56
48,BL008102,General Contractor,236220,BEAR CONSTRUCTION INC.,Expired,2018-03-01T14:54:32,2018-03-01T14:55:42,2018-03-01T14:55:42,2019-03-01T14:55:42
49,BL008106,General Contractor,236220,Moret Construction Co. Inc,Active,2018-03-07T09:12:53,2025-02-04T00:00:00,2025-03-08T00:00:00,2026-03-07T00:00:00
50,BL008108,General Contractor,236220,WATERVIEW GRANDE CONTRACTORS LLC,Expired,2018-03-09T11:04:49,2020-04-15T00:00:00,2020-03-10T00:00:00,2021-03-09T00:00:00
51,BL008111,General Contractor,236220,JZ CARPENTRY & CONTRACTING LLC,Expired,2018-03-13T10:24:24,2020-03-05T00:00:00,2020-03-14T00:00:00,2021-03-13T00:00:00
52,BL008117,General Contractor,236220,PITTPENN,Expired,2018-03-15T12:01:46,2018-03-15T12:05:54,2018-03-15T12:05:54,2019-03-15T12:05:54
53,BL004036,General Contractor,236220,RJ Surace Company,Expired,2015-01-14T12:47:21,2014-04-21T08:44:41,2014-04-21T08:44:41,2015-04-21T08:44:41
54,SN00462,Sign Contractor,238990,Interstate Sign Co Inc,Expired,2016-11-03T11:54:28,2016-11-03T11:55:14,2016-11-03T11:55:14,2017-11-03T11:55:14
55,SN00478,Sign Contractor,238990,Custom Signs & Lighting Inc,Active,2011-03-30T11:56:20,2024-10-11T00:00:00,2024-09-15T00:00:00,2025-09-14T00:00:00
56,BL004346,General Contractor,236220,MERANTE PLUMBING,Expired,2015-05-27T11:05:45,2015-05-27T11:06:50,2015-05-27T11:06:50,2016-05-27T11:06:50
57,BL004327,General Contractor,236220,"Kishmo, Inc.",Active,2011-05-23T11:12:40,2025-03-05T00:00:00,2025-03-08T00:00:00,2026-03-07T00:00:00
58,BL007060,General Contractor,236220,James Hoy,Expired,2014-02-18T07:49:39,2016-06-30T11:16:01,2016-06-30T11:16:01,2017-06-30T11:16:01
59,BL007072,General Contractor,236220,DAVID GIBSON,Expired,2015-01-14T12:49:25,2014-03-07T12:22:06,2014-03-07T12:22:06,2015-03-07T12:22:06
60,BL007076,General Contractor,236220,FIRST SITE DEVELOPMENT LP,Expired,2015-01-14T12:52:43,2014-03-11T08:45:58,2014-03-11T08:45:58,2015-03-11T08:45:58
61,BL007088,General Contractor,236220,COMBINED MECHANICAL INC,Expired,2015-01-14T12:52:47,2014-04-09T11:32:29,2014-04-09T11:32:29,2015-04-09T11:32:29
62,BL007094,General Contractor,236220,WESTWIND CONSTRUCTION & DEVELOPMENT INC,Expired,2015-01-14T12:52:49,2014-04-15T15:15:23,2014-04-15T15:15:23,2015-04-15T15:15:23
63,BL007098,General Contractor,236220,"Steel Town Renovations, LLC",Expired,2014-04-17T13:54:18,2022-11-18T00:00:00,2022-10-30T00:00:00,2023-10-29T00:00:00
64,BL007106,General Contractor,236220,JMJ CONSTRUCTION,Expired,2015-01-14T12:52:53,2014-04-23T13:05:13,2014-04-23T13:05:13,2015-04-23T13:05:13
65,BL007445,General Contractor,236220,CLARENCE PORTER,Expired,2015-09-04T13:45:27,2016-03-04T13:37:09,2016-03-04T13:37:09,2017-03-04T13:37:09
66,BL007447,General Contractor,236220,ABSTEN & SONS LLC,Expired,2015-09-09T12:13:04,2015-09-09T12:14:14,2015-09-09T12:14:14,2016-09-09T12:14:14
67,BL008126,General Contractor,236220,THOMAS ELDER CONSTRUCTION,Expired,2018-03-29T12:21:58,2018-03-29T12:24:02,2018-03-29T12:24:02,2019-03-29T12:24:02
68,BL008129,General Contractor,236220,FairHaven Homes,Expired,2018-04-02T12:01:09,2018-04-02T12:07:25,2018-04-02T12:07:25,2019-04-02T12:07:25
69,BL008130,General Contractor,236220,"Flyspace Productions, LLC",Expired,2018-04-06T08:48:07,2018-04-06T08:49:13,2018-04-06T08:49:13,2019-04-06T08:49:13
70,BL008133,General Contractor,236220,Cannon Construction Services Inc,Expired,2018-04-09T10:53:33,2022-04-12T00:00:00,2022-04-10T00:00:00,2023-04-09T00:00:00
